Date Applied,Company Name,Job Title,Location,Status,Job Posting
1/29/2025,Reliable Robotics,Flight Software Test Environments Engineer,"950 N Rengstorff Ave, Mountain View, CA 94043",Interview,https://www.indeed.com/rc/clk?jk=a41cb70c5fe8811e&bb=887tvkC_rfgTrPyP2L3KGK7Jvuz-RzP1Jh45iuyE3E745QReSvAofOKZm0CoywdntGnCLto32drHgv5HKHh1nnOFJSgM2Q2RTScuFyDhWBmK7FR_DBEff48kb6eVSILa&xkcb=SoD-67M32apsOqAOob0KbzkdCdPP&fccid=a14367aef85963f7&vjs=3
1/29/2025,Applied Intuition,Embedded Software Engineer,"145 E Dana St, Mountain View, CA 94041",Applied,https://boards.greenhouse.io/appliedintuition/jobs/4085478005
1/29/2025,Moog,Senior Embedded Software Engineer,"7406 Hollister Ave, Goleta, CA 93117",Applied,https://moog.wd5.myworkdayjobs.com/en-US/MOOG_External_Career_Site/job/Senior-Embedded-Software-Engineer---Onsite_R-24-10344
1/29/2025,Wing,Senior Embedded Software Engineer,"3400 Hillview Ave, Palo Alto, CA 94304",Applied,https://wing.com/careers/7788799002/?gh_jid=7788799002&gh_src=f9d2f22e2us
1/29/2025,CARIAD,"Senior Software Engineer, Testing","450 National Avenue, Mountain View, CA 94043",Applied,https://www.indeed.com/viewjob?jk=f9f3c36f2d56ac7a&hl=en
1/28/2025,York Space Systems,"Flight Software Engineer, Senior","6060 S Willow Dr, Greenwood Village, CO 80111",Applied,https://www.indeed.com/viewjob?jk=1bd80aee9c5132d5&hl=en
1/28/2025,Advanced Space,Senior Software Engineer,"1400 W 122nd Ave, Westminster, CO 80234",Interview,https://www.indeed.com/viewjob?jk=34aed3edf3a6cabe&hl=en
1/28/2025,Caribou Thunder,Software Engineer - Algorithm,"Boulder, CO 80302",Withdrawn,https://www.indeed.com/viewjob?jk=b83c241ce694fc51&hl=en
1/28/2025,Loft Orbital,Engineer - HIL (Hardware in the Loop),"560 Golden Ridge Rd, Golden, CO 80401",Applied,https://jobs.lever.co/loftorbital/0d15dc0a-903b-42ba-a579-2a7dc4c7b271
1/28/2025,SNC,Sr Software Engineer,"11551 E Arapahoe Rd, Centennial, CO 80112",Applied,https://snc.wd1.myworkdayjobs.com/en-US/SNC_External_Career_Site/job/Lone-Tree-CO/Sr-Software-Engineer_R0025309
1/28/2025,CesiumAstro,Senior Software Engineer II,"10355 Westmoor Dr, Westminster, CO 80021",Applied,https://jobs.lever.co/CesiumAstro/e03a3f38-306f-4e43-9b0a-f0f918bf0b36
1/28/2025,CesiumAstro,Senior Embedded Software Engineer I,"10355 Westmoor Dr, Westminster, CO 80021",Applied,https://jobs.lever.co/CesiumAstro/585d3912-28f2-4cc7-ae92-b2850b8d320f
1/28/2025,Maxar,Software Engineer,"1300 W 120th Ave, Westminster, CO 80234",Applied,https://maxar.wd1.myworkdayjobs.com/en-US/MAXAR/job/Software-Engineer_R21697
1/25/2025,Elroy Air,Embedded Software Engineer,"Byron, CA",Applied,https://www.indeed.com/viewjob?jk=58e0d99a2ec199c4&hl=en
